Category,Article_Title,Article_Link,Article_Text
INDIA NEWS,India denies 'secret memo against Nijjar' report: 'Peddled by Pak intelligence',https://www.hindustantimes.com/india-news/india-denies-secret-memo-against-nijjar-report-peddled-by-pak-intelligence-101702229753576.html,"The ministry of external affairs on Sunday denied a report on Hardeep Singh Nijjar that claimed that New Delhi sent a 'secret memo' to consulates in North America to launch a ""sophisticated crackdown scheme"" against Sikh diaspora organisations in Western countries. Calling the report by The Intercept fake and completely fabricated, the ministry said there was no such memo. ""This is part of a sustained disinformation campaign against India. The outlet in question is known for propagating fake narratives peddled by Pakistani intelligence. The posts of the authors confirm this linkage,"" the MEA said. ""Those who amplify such fake news only do so at the cost of their own credibility,"" the statement read.
The Intercept report claimed that a secret memo was issued in April 2023. It ""lists several Sikh dissidents under investigation by India's intelligence agencies including the Canadian citizen Hardeep Singh Nijjar"", the report termed fake by the government read. It claimed the memo was sent two months before Hardeep Singh Nijjar was killed in Vancouver.
India-Canada relationship received a jolt after Canadian Prime Minister Justin Trudeau alleged that India was behind Hardeep Singh Nijjar's assassination. India rejected the claim and assured that it would cooperate in the investigation process if Canada provided evidence. There was a diplomatic row between the two countries and India temporarily suspended its visa services in Canada. The services resumed but Ottawa had to withdraw around 40 diplomats from India as New Delhi pointed out a disparity in the number of diplomats between India and Canada. India also accused Canadian diplomats posted in India of interfering in internal affairs.

"
INDIA NEWS,‘Congress treats tribals as vote bank’: Chhattisgarh CM-designate Vishnu Deo Sai,https://www.hindustantimes.com/india-news/congress-treats-tribals-as-vote-bank-says-chhattisgarh-cm-designate-vishnu-deo-sai-101702227223427.html,"Chhattisgarh Chief Minister-designate Vishnu Deo Sai on Sunday accused the Congress of treating tribals as a vote bank and said his party BJP takes care of their welfare.
Sai (59), a prominent tribal face in the state, was on Sunday elected as the legislative party leader during a meeting of 54 newly elected BJP lawmakers here.
The CM-designate in the evening reached the state guest house ‘Pahuna’ where he met party workers, who were eagerly waiting there after the announcement of his election to the top post.
Talking to reporters at the state guest house, Sai said, “Indeed, it’s a big responsibility (the CM post) and challenging, but I have full faith that I will continue to get guidance and support from national leadership and all party MLAs.”
READ | Vishnu Deo Sai: The first tribal chief minister of Chhattisgarh
“I have discharged whatever responsibilities given by the party to me, and I am confident that this time also, I will discharge the new challenging responsibility in a similar way,” he added.
When asked whether his appointment to the top post will benefit the party in adjoining tribal-dominated states like Odisha and Jharkhand, Sai said tribals of the country are associated with BJP as they very well know that it is their only well-wisher party.
“Honourable Droupadi Murmu ji, who comes from a tribal community, became the President of the country in the BJP regime. A separate tribal development ministry was formed when the Atal Bihari Vajpayee government was at the Centre. Vajpayee ji was also the founder of Chhattisgarh,"" he said.
READ | Who is Vishnu Deo Sai, BJP's Chhattisgarh CM pick? 10 things to know
Tribals are well aware that under the BJP rule, their development, well-being, and respect are achievable, he said.
Later, Sai went to Jai Stambh Chowk in the capital and paid respect to the statue of Shaheed Veer Narayan Singh, a freedom fighter from the tribal community.
“Today is the death anniversary of Shaheed Veer Narayan Singh and therefore, I have come to pay tribute to him,” he told reporters.
“BJP takes care of the tribal community. I should not say this today but the Congress treats tribals as their vote bank…” he claimed.
Subsequently, he went to his residence in Vidhayak Colony here where he was given a warm welcome by his family members and party workers.

"
INDIA NEWS,"Amit Shah attacks INDIA bloc on cash haul from Cong MP: ‘Why JDU, RJD silent?’",https://www.hindustantimes.com/india-news/amit-shah-attacks-india-bloc-on-cash-haul-from-dhiraj-sahu-i-understand-cong-is-silent-101702219911237.html,"Union home minister Amit Shah on Sunday hit out at the INDIA bloc over the silence maintained by its leaders after the recovery of cash worth ₹353 crore from the premises of Congress MP Dhiraj Sahu. Attacking the parties, Amit Shah said, “I understand Congress is silent as corruption is in their nature but JDU, RJD, DMK, and SP all are sitting silently...Now I understand why a campaign was run against PM Modi that agencies are being misused. It was run because there was a fear in their mind that all the secrets of their corruption would be revealed.”

Meanwhile, the Congress distanced itself from the matter as Congress leader and Jharkhand health minister Banna Gupta clarified that his party had no involvement in the matter under discussion. The minister said that it was the responsibility of the central agency to clarify where the money came from.
""Dhiraj Sahu belongs to a big family, which has business interests. They have been running their businesses for several years. I believe it is the Income Tax department that should come out with a detailed clarification on the source of the money,"" Gupta told ANI.
""It's not that he had stashed bribe money. An investigation is underway after which everything will be crystal clear. However, is his (Sahu's) personal business and has nothing to do with the party,"" the minister added.
The income tax department has recovered an amount of ₹353 crore at premises linked to Congress Rajya Sabha MP Dhiraj Sahu. Cash counting is currently underway at the main branch of the State Bank of India in Bolangir, Odisha. SBI's regional manager, Bhagat Behera, provided an update earlier today, stating that they have received a total of 176 bags for cash counting at the main branch in Bolangir, Odisha. Out of these, 140 bags have already been counted. The counting process involves 50 bank officials utilizing 25 machines for efficiency. According to SBI officials, the entire cash counting process is expected to be completed by midnight.





"
INDIA NEWS,Amit Shah-led Eastern Zonal Council meet in Patna addresses multiple issues,https://www.hindustantimes.com/india-news/amit-shah-led-eastern-zonal-council-meet-in-patna-addresses-multiple-issues-101702223605345.html,"Several issued were resolved in the 26th meeting of the Eastern Zonal Council chaired by Union Home Minister Amit Shah in Bihar's Patna on Sunday.
""The meeting was good and several issues were resolved in the meeting. Committees were also formed for some issues,"" Shah told ANI.
Union Home Minister and Minister of Cooperation Amit Shah had chaired the 26th meeting of the Eastern Zonal Council in Patna, Bihar. Bihar Chief Minister Nitish Kumar and senior ministers from Odisha, West Bengal, Bihar and Jharkhand attended the meeting. The secretary of the Inter State Council Secretariat, the chief secretaries of member states, senior officials of state governments and central ministries and departments were also present in the meeting.
In his address, Union Home Minister Shah said that apart from being the cultural capital of the country, the eastern region has also been the centre of many major educational institutions since ancient times. He said that a lot of experiments have taken place in the field of education in the eastern region and even in competitive examinations, children from the eastern region are most successful. The Home Minister also said that the Eastern Region has laid the foundation for the industrial development of the entire country and many patriots from this region have contributed significantly to the redevelopment of the country before and after independence. The region is rich in mineral resources and water, and the eastern states like Bihar, Orissa, Jharkhand and West Bengal provide almost all the mineral resources for the needs of the entire country.
Amit Shah said that Prime Minister Narendra Modi's vision of strengthening the spirit of cooperative federalism has been realised in the last nine years.
Highlighting the increase in the number of Zonal Council meetings after Narendra Modi became the Prime Minister, the Home Minister said that from 2004 to May 2014, the total number of meetings of the Zonal Councils and their Standing Committees was only 25 and during this period, on average, 2.7 meetings were held every year. But in the last nine years, from June 2014 until now, despite the COVID-19 pandemic, a total of 56 meetings of the Zonal Councils and their Standing Committees were held and an average of 6.2 meetings were held every year. A total of nine meetings have been held so far this year, which includes four meetings of Zonal Councils and five meetings of standing committees. He added that this increase of more than double showcases Prime Minister Modi's Team India concept.
Addressing the meeting that lasted for about three hours, the Home Minister said that 1,157 issues have been resolved in the meetings of the zonal councils. He said that in the zonal council meetings, differences on political matters should be avoided and efforts should be made to resolve matters in a liberal manner.
Amit Shah said that many issues of national importance have also been included in the agenda of the Zonal Council meetings. These include eliminating malnutrition among children through the Poshan Abhiyan (nutrition campaign), reducing the dropout rate of schoolchildren, and operationalizing Fast Track Special Courts (FTSCs) for speedy investigation and speedy disposal of rape cases against women and children. The facility of banks and Indian Post Payment Bank branches within 5 km of each village, the formation of two lakh new primary agricultural credit societies (PACS) in the country and the strengthening of all existing PACS in the country have also been included.
He said that these issues need to be reviewed every three months at the level of the Chief Minister, Minister and Chief Secretary. Issues related to mining, central financial assistance on some items, construction of basic infrastructure, land acquisition and land transfer, water sharing, implementation of the Direct Benefit Transfer scheme, state reorganization and issues of common interest at the regional level were also discussed in the meeting.
Shah said that in the meeting, all four states--Bihar, Jharkhand, West Bengal and Odisha--made impressive presentations regarding good practises being implemented in their respective states. He said that these good practises will inspire other states to take positive steps. It was informed in the meeting that the land acquisition work for the Hajipur-Sugauli new railway line project has almost been completed. Also, land acquisition work for the Nabadwipghat-Nabadwipdham New Railway Project (15 km) in West Bengal has also started. Additionally, work on the completed section of the Krishnanagar-Nabadwipghat gauge conversion (12.2 km), i.e., Krishnanagar-Amghata (8.30 km), has been commissioned.
Regarding the caste-based survey conducted in Bihar, the Home and Cooperation Minister said that when his party was in power in Bihar, it had supported the caste-based survey. He said the governor also approved the bill. He added that there are some issues regarding caste-based surveys, which he hoped the state government would resolve. Shri Shah said that the Central government never had any intention of creating hurdles in the caste-based survey.
The Union Home Minister said, ""Although the role of the Zonal Council meetings is advisory, on the basis of my four and a half years of experience as Union Home Minister, I can say that by giving importance to the meetings of the Council and its Standing Committee, we have resolved many issues. A total of 48 issues were discussed in depth in the 13th meeting of the Standing Committee held on June 17, 2023, out of which a total of 28 issues were resolved by mutual consent after discussion between the Chief Secretaries of the member states and senior officials of the states and the Centre. A total of 21 issues were discussed in today's meeting"". (ANI)

"
INDIA NEWS,Dhiraj Sahu I-T raid: Cash haul reaches ₹353 cr; MP's old tweet viral,https://www.hindustantimes.com/india-news/dhiraj-sahu-i-t-raid-cash-counting-ends-with-seizure-of-rs-353-cr-mps-old-tweet-emerges-101702222617833.html,"The amount of unaccounted cash found from premises linked to Congress Rajya Sabha MP Dhiraj Sahu reached ₹353 crore on Sunday as the counting finally came to an end while the issue snowballed into a major political controversy because of the involvement of the Congress MP. The income tax department raided the premises on Wednesday and found stacks of notes kept in almirah racks. The counting began but could not be finished in a day or two as the SBI branch where the notes were being counted had its normal operations too. The counting could be completed by the weekend, the staff said earlier.
The I-T raids were at the premises of Boudh Distilleries Private Limited across Odisha, Jharkhand and West Bengal. Neither the MP nor the company has issued any statement so far. The Congress said the party has no involvement in the MP's business and he should explain this huge amount of cash.
The counting created a spectacle as this became the largest cash haul in a single operation in the country. The SBI branch where the counting took place received 176 bags full of cash. Three banks were roped in for the counting process. 40 currency counting machines were brought in. Initially, there was a shortage of machines as the ones in the counting operation gave in.
The counting involved nine teams of about 80 people from the tax department and various banks and they worked 24X7 in shifts. After 10 cash-stuffed almirahs were found, another team of 200 officials, including security personnel, drivers and other staff, joined in.
BJP's Amit Malviya shared a screenshot of Dhiraj Sahu's old tweet in which he exclaimed how there still was so much black money in the country even after demonetisation. ""Dhiraj Prasad Sahu has a dark sense of humour,"" Malviya tweeed.


""I feel pained seeing so much corruption and black money in the country even after noteban. This is beyond my understanding how people can accumulate so much of black money. Only Congress can uproot corruption from the party,"" Dhiraj Prasad Sahu tweeted in 2022.


""Imagine how much one Congress MP has looted that it takes almost an army of personnel to count the loot. Now multiply it with Congress’ 60 years of power & 1000s of MPs. It runs into tens of thousands of crores. Congress is corruption ki beemari! The disease of corruption,"" BJP national spokesperson Shehzad Poonawala said.


Union home minister Amit Shah on Sunday spoke about the issue as he questioned the silence of the INDIA parties like SP, DMK, JDU. ""It can be now understood as to why the allegation against the Modi government that it is misusing investigation agencies was made.It was because of the fear that their corruption will be exposed,"" Amit Shah said. PM Modi too earlier commented on the massive cash haul and said it is PM Modi's guarantee that every penny has to be returned to the public.

"
INDIA NEWS,"Supreme Court’s Article 370 verdict: A guide to key questions, arguments",https://www.hindustantimes.com/india-news/supreme-court-s-art-370-verdict-tomorrow-a-guide-to-key-questions-arguments-101702216477638.html,"The Constitution bench of the Supreme Court on December 11 will pronounce its verdict on a batch of petitions challenging the abrogation of Article 370 and bifurcation of the erstwhile state of Jammu and Kashmir into two Union territories.
The five-judge constitution bench, including Chief Justice of India DY Chandrachud and Justices Sanjay Kishan Kaul, Sanjiv Khanna, BR Gavai, and Surya Kant, will deliver the judgment on Monday. The apex court reserved the judgment on September 5 after a 16-day argument session.
Attorney General R Venkataramani, Solicitor General Tushar Mehta, and senior advocates Harish Salve, Rakesh Dwivedi, V Giri, and others have represented the Centre and intervenors supporting the abrogation of Article 370.
Senior advocates, including Kapil Sibal, Gopal Subramanium, Rajeev Dhavan, Zaffar Shah, Dushyant Dave, and others, presented their case on behalf of the petitioners.
Also read: Ahead of Article 370 verdict, little hope more despair in J&K
Lawyers contested on various issues, including the constitutional validity of the Centre's decision on August 5, 2019, to abrogate Article 370, the validity of the Jammu and Kashmir Reorganisation Act, challenges to the Governor's and President's rule, and the extension of President's rule in the former state on July 3, 2019.
Numerous petitions challenging the Article 370 abrogation and Jammu and Kashmir Reorganisation Act, 2019, which created Jammu and Kashmir and Ladakh as Union territories, were referred to the Constitution bench in 2019.
During the hearing, the apex court asked who can recommend the revocation of Article 370 in Jammu and Kashmir when no constituent Assembly, the concurrence of which is required before taking such a step, exists there.
Supreme Court also asked how can a provision (Article 370), which was specifically mentioned as temporary in the Constitution, become permanent after the tenure of the Jammu and Kashmir constituent Assembly came to an end in 1957.
The central government said that the abrogation of Article 370 was not a ""constitutional fraud"" and aligned with the legal framework.
It argued that the accession of Jammu and Kashmir to India was similar to the process followed by numerous princely states. It said many states joined through accession post-independence with conditionalities but after merger, their sovereignty was subsumed into India.
The central government said that Jammu and Kashmir's current status as a Union Territory is temporary and it is committed to restoring statehood.
The government said there is a positive transformation in Jammu and Kashmir, citing a decline in street violence since 2019. It claimed an ""unprecedented era of peace, progress, and prosperity,"" with normalcy returning to the region after years of turmoil.
Also read- Article 370 was a stopgap measure: Centre to SC
Petitioners argued that Article 370, initially considered temporary, became permanent after the dissolution of the Constituent Assembly of Jammu and Kashmir.
They contended that Parliament lacked the authority to declare itself the legislature of J-K for Article 370's abrogation, citing Article 354 as insufficient for such power.
Pointing towards Article 370's clause 3, petitioners said that the Constituent Assembly's recommendation was crucial for its removal. Due to the Constituent Assembly's dissolution, required for abrogating Article 370, petitioners claimed that the provision could not be revoked.
Also read- Ends cannot justify means: SC to Centre on Article 370
The Jammu and Kashmir High Court Bar Association presented in Supreme Court that upon acceding to India, the Maharaja of Jammu and Kashmir retained territorial sovereignty over the state but not the sovereign power to rule and govern.
However, the association said, apart from defence, external affairs, and communication, all other powers were retained by the state for legislation and governance.
Inputs from wires


"
INDIA NEWS,‘Dream come true for Hindus’: BRS leader Kavitha praises Ram Temple in Ayodhya,https://www.hindustantimes.com/india-news/dream-come-true-for-hindus-brs-leader-kavitha-praises-ram-temple-in-ayodhya-101702216870668.html,"Daughter of former chief minister of Telangana and leader of the Bharat Rashtra Samithi Kalvakuntla Kavitha on Sunday praised the Ram Temple in Ayodhya. Taking to X, Kavitha said that the temple is a ‘dream come true for the Hindus’. “During the auspicious time when the idol of Sri Seetharama Chandra Swamy is installed in Ayodhya, which is a dream come true for crores of Hindus, the country welcomes it along with Telangana,"" she posted on X along with a video of under under-construction Ram Temple in Ayodhya.

The sanctum-sanctorum of the temple where Lord Ram's idol will be kept is nearing its completion. General Secretary of the Sri Ram Janmabhoomi Tirath Kshetra Trust, Champat Rai on Saturday shared the photos of the sanctum-sanctorum on X. ""The sanctum-sanctorum of Lord Shri Ramlala is almost ready. Recently the lighting-fitting work has also been completed. Sharing some photographs with you,"" he captioned his post.
Ayodhya Ram Temple's construction nearing completion of the sanctum sanctorum | See Pics
The Sri Ram Janmabhoomi Tirath Kshetra Trust has decided to enthrone Ram Lalla at the sanctum-sanctorum of the temple at noon on January 22. The trust has invited 4,000 saints from all sects for the inauguration ceremony of the Ram Temple. PM Modi will also attend the inauguration of the temple in Ayodhya next year.
Vedic rituals for the consecration ceremony of Ram Lalla are expected to begin in Ayodhya on January 16. Ayodhya is witnessing the setting up of multiple tent cities in connection with the arrival of thousands of devotees for the highly anticipated consecration ceremony of the Ram Temple in Uttar Pradesh.
(With ANI inputs)

"
INDIA NEWS,"AAP leader Kejriwal, CM Mann launch doorstep delivery of services in Punjab",https://www.hindustantimes.com/india-news/aap-leader-kejriwal-cm-bhagwant-mann-launch-doorstep-delivery-of-services-in-punjab-101702218784851.html,"AAP national convenor Arvind Kejriwal and Punjab Chief Minister Bhagwant Mann Sunday launched a state government scheme to deliver citizen-centric services at people's doorstep, with the senior leader calling it a hammer blow on corruption.
Under the ""Bhagwant Mann Sarkar Tuhade Dwar"" scheme, people will get 43 services, including certificates of birth, marriage, death, income, residence, caste, rural area, border area, backward area, pension, payment of electricity bills and land demarcation.
Addressing a gathering here after the launch of the scheme, Delhi Chief Minister Kejriwal called it ""revolutionary"".
Lauding the Mann government, Kejriwal said it was taking steps one after another against corruption and is conducting raids against and arresting big leaders who ""looted"" Punjab in the last 75 years.
He said freedom fighters did not sacrifice their lives for people to face harassment at government offices even after freedom.
They sacrificed their lives so that people get good education, quality health, medicines, roads and electricity, said the Delhi CM.
But in the last 75 years, with the kind of system in the country, people face a lot of harassment at government offices for getting even a small work done, he said. ""The work that is going to commence in Punjab is no less than a revolution. It is a revolutionary step,"" said Kejriwal.
He spoke about the plight of people visiting government offices for getting their work done.
They have to stand in long queues, take leaves, skip farm work and even pay money to then middleman to get their work done, he said. ""Today, the work which is going to start in Punjab, you now do not need to go to offices. Your work will be done at your doorsteps,"" he added.
Kejriwal said as many as 43 government services will be delivered at the doorstep, covering around 99 percent services by the state government. He said the day is not far when 100 percent government services will be available to people at their doorsteps.
He said to avail these services, people will have to dial 1076 and they will be then asked to schedule their appointments according to their convenience to get their work done, he said.
He said his government started this service in Delhi in September 2018 and lakhs of people have availed it. ""If the governments of Delhi and Punjab could do this, then why was this work not done by the governments of other parties in the last 75 years. If the Delhi government could do this five years back, why then governments in Madhya Pradesh, Rajasthan, and Maharashtra did not do this till now? Their intention is bad,"" he alleged.
He said the money which people pay to middlemen for getting the work done reaches an officer, a minister and a chief minister. ""Money you pay for birth, death certificates, and ration cards directly reaches up till a chief minister,"" he said.
""You have elected an honest government in Punjab. You have chosen an honest chief minister in Punjab… we do not take money,"" said Kejriwal.
The AAP chief the Mann government was taking successive steps against corruption. ""Big fish were caught. Big leaders who looted money in 75 years, were raided and arrested. He (Mann) is not scared of any one, he is courageous. Whosoever looted Punjab, be it any party, will be put behind bars,"" he said.
Whosoever looted Punjab's money, will be taken back from them and will be spent on people, building schools and hospitals, said Kejriwal.
""The step being taken today is the biggest hammer blow on corruption in Punjab by the Bhagwant Mann government. Coming generations will remember this,"" he said.
Speaking before him, Mann said from now onwards, the inconvenience and humiliation of the common man in the government offices will end forever. He said he and his MLAs will regularly keep a tab on the scheme so that it benefits the common man.
All of them will conduct inspections at the government offices thereby facilitating the common man, said Mann.
Mann said only two or three families ruled the state during the past 25 years and ruin it for their vested personal interests.
These families ran the state as per their own “whims and fancies” just to exploit the people of the state, he said.

"
INDIA NEWS,‘I wish that…’: Outgoing Chhattisgarh CM Baghel congratulates new CM-elect Sai,https://www.hindustantimes.com/india-news/i-wish-that-outgoing-chhattisgarh-chief-minister-baghel-congratulates-new-cm-elect-vishnu-deo-sai-101702212818620.html,"Outgoing chief minister of Chhattisgarh Bhupesh Baghel on Sunday congratulated Vishnu Deo Sai on being elected as the new CM of the state. In a post on X, Baghel wrote, “Congratulations and best wishes to Kunkuri MLA and senior BJP leader Shri Vishnu Dev Sai ji on being elected as the leader of the BJP Legislative Party. I wish that you take forward the journey of justice and progress of Chhattisgarh as the Chief Minister. @vishnudsai”


Vishnu Deo Sai's name was announced as the new chief minister on Sunday. Sai is the first tribal CM of the state. Sai was elected as an MLA from the Kunkuri assembly seat in the state's Surguja division. The BJP won all 14 segments in the region.
After being elected as the new CM of the state, Sai told reporters, “As the chief minister, I will try to fulfil PM Modi's guarantees (pre-poll promises of the BJP) through the government.” He also said that the first work undertaken by him will be that of 'providing 18 lakh homes to the people of Chhattisgarh.
Sai started his political career in 1989 when he was elected as a village panch. He later went on to become the Sarpanch in 1990. He won four consecutive Lok Sabha elections from the Raigarh constituency from 1999 to 2014. He rose to the rank of the union minister of state for steel in the first Cabinet of prime minister Narendra Modi.
Vishnu Deo Sai has also served as the state president of the BJP between 2020 to 2022. Reacting to Sai's election as the new chief minister of Chhattisgarh, his mother Jasmani Devi said, “ I am very happy. My son has got the opportunity to serve the people of Chhattisgarh.”
Meanwhile, BJP leader OP Chaudhary said, “We will take the state forward under his leadership...We fulfil the responsibilities decided by the party. Giving our 100 per cent, under the leadership of Vishnu Deo Sai we will take the state to new heights.”
(With inputs from ANI)

"
INDIA NEWS,"INDIA bloc meeting, 1st after Cong poll defeat, on December 19: ‘Main nahi, hum’",https://www.hindustantimes.com/india-news/india-bloc-meeting-first-after-congress-poll-defeat-scheduled-on-december-19-101702215422290.html,"Congress general secretary Jairam Ramesh on Sunday announced that the fourth meeting of the INDIA bloc, the first after Congress's defeat in Chhattisgarh, Madhya Pradesh and Rajasthan, will be held on December 19. ""Judega Bharat, jeetega INDIA,"" the Congress leader posted amid cloud over opposition unity amid skirmish between parties. At this meeting, the opposition bloc wants to work on a theme of unity 'Main nahi, hum', a PTI report said.
West Bengal chief minister Mamata Banerjee, Bihar CM Nitish Kumar and former Uttar Pradesh CM and Samajwadi Party leader Akhilesh Yadav indicated their inability to attend the meeting at the date scheduled earlier. Tamil Nadu chief minister MK Stalin was also managing the Cyclone Michaung situation in the state.
A section of the alliance asserted that there was no infighting but the leaders were unable to attend the meeting on December 6. However, there were adverse reactions from the regional leaders after the Congress lost Chhattisgarh and Rajasthan and failed to defeat the BJP in Madhya Pradesh. Trinamool supremo Mamata Banerjee said the results were not BJP's victory but Congress's failure.
At this meeting, seat-sharing is likely to be discussed which will become a crucial issue for the INDIA bloc. There can be discussion of joint election campaign ahead of the 2024 Lok Sabha election. The last meeting of the 27 alliance partners was held in Mumbai in September in which coordination committees were set up.
The seat-sharing talks among the INDIA partners were stalled as the Congress was anticipating a good result in the three states which could have strengthened its negotiation. In those states, there was no seat-sharing agreement among the opposition parties either.
Samajwadi Party chief Akhilesh Yadav was miffed as there was no sear-sharing in Madhya Pradesh where the party contested in 69 seats. The party ended up with the worst vote share as it did not even come a close second on any of the seats. On 43 of the 69 seats that the Samajwadi Party contested, it bagged less than 1,000 votes.


"
