Actual,Predicted
INDIA NEWS,INDIA NEWS
INDIA NEWS,INDIA NEWS
EDUCATION,EDUCATION
SPORTS,SPORTS
SPORTS,WORLD NEWS
WORLD NEWS,WORLD NEWS
SPORTS,SPORTS
CRICKET,CRICKET
INDIA NEWS,INDIA NEWS
CRICKET,CRICKET
LIFESTYLE,LIFESTYLE
SCIENCE,SCIENCE
CRICKET,CRICKET
WORLD NEWS,WORLD NEWS
ENTERTAINMENT,ENTERTAINMENT
EDUCATION,CRICKET
SPORTS,SPORTS
INDIA NEWS,INDIA NEWS
ENTERTAINMENT,ENTERTAINMENT
EDUCATION,EDUCATION
LIFESTYLE,LIFESTYLE
INDIA NEWS,INDIA NEWS
CRICKET,CRICKET
LIFESTYLE,LIFESTYLE
SPORTS,SPORTS
CRICKET,CRICKET
INDIA NEWS,INDIA NEWS
ENTERTAINMENT,WORLD NEWS
WORLD NEWS,WORLD NEWS
WORLD NEWS,CRICKET
CRICKET,CRICKET
SCIENCE,SCIENCE
INDIA NEWS,INDIA NEWS
ENTERTAINMENT,CRICKET
INDIA NEWS,WORLD NEWS
CRICKET,CRICKET
CRICKET,CRICKET
SPORTS,SPORTS
EDUCATION,EDUCATION
SCIENCE,SCIENCE
ENTERTAINMENT,LIFESTYLE
CRICKET,CRICKET
CRICKET,CRICKET
INDIA NEWS,INDIA NEWS
SPORTS,EDUCATION
ENTERTAINMENT,ENTERTAINMENT
WORLD NEWS,WORLD NEWS
LIFESTYLE,LIFESTYLE
SPORTS,WORLD NEWS
