Actual,Predicted
INDIA NEWS,INDIA NEWS
INDIA NEWS,INDIA NEWS
EDUCATION,EDUCATION
SPORTS,SPORTS
SPORTS,SCIENCE
WORLD NEWS,CRICKET
SPORTS,SPORTS
CRICKET,CRICKET
INDIA NEWS,INDIA NEWS
CRICKET,CRICKET
LIFESTYLE,LIFESTYLE
SCIENCE,SCIENCE
CRICKET,CRICKET
WORLD NEWS,WORLD NEWS
ENTERTAINMENT,ENTERTAINMENT
EDUCATION,CRICKET
SPORTS,CRICKET
INDIA NEWS,INDIA NEWS
ENTERTAINMENT,ENTERTAINMENT
EDUCATION,EDUCATION
LIFESTYLE,LIFESTYLE
INDIA NEWS,INDIA NEWS
CRICKET,CRICKET
LIFESTYLE,LIFESTYLE
SPORTS,SPORTS
CRICKET,CRICKET
INDIA NEWS,INDIA NEWS
ENTERTAINMENT,WORLD NEWS
WORLD NEWS,WORLD NEWS
WORLD NEWS,WORLD NEWS
CRICKET,CRICKET
SCIENCE,SCIENCE
INDIA NEWS,INDIA NEWS
ENTERTAINMENT,CRICKET
INDIA NEWS,CRICKET
CRICKET,CRICKET
CRICKET,INDIA NEWS
SPORTS,CRICKET
EDUCATION,EDUCATION
SCIENCE,SCIENCE
ENTERTAINMENT,ENTERTAINMENT
CRICKET,CRICKET
CRICKET,CRICKET
INDIA NEWS,INDIA NEWS
SPORTS,SPORTS
ENTERTAINMENT,ENTERTAINMENT
WORLD NEWS,WORLD NEWS
LIFESTYLE,SCIENCE
SPORTS,CRICKET
